# Temporal budget -- fastest oscillating term per scene
#
# ceilings: full-field brightness 3 Hz | hue 2 Hz | camera/geometry 4 Hz | local detail 8.0 Hz
# rates: time 1.0/s, audioPhase ~1.2 rad/s, audioAdvance ~0.25/s
#
scene                                                   Hz  term
JellyBody                                             4.93  time*31 (JellyBody.vert)
QuantumChromaField                                    3.18  time*20 (QuantumChromaField.frag)
SupermassiveAccretionDisk                             2.39  time*15 (SupermassiveAccretionDisk.frag)
LorenzAttractorTurbulence                             2.39  time*15 (LorenzAttractorTurbulence.frag)
PrismaticSuperradiance                                2.23  time*14 (PrismaticSuperradiance.frag)
CyberHologramGlitchVoxel                              1.91  time*12 (CyberHologramGlitchVoxel.frag)
PrismaticLaserVault                                   1.91  time*12 (PrismaticLaserVault.frag)
StainedGlassCathedralCaustics                         1.91  time*12 (StainedGlassCathedralCaustics.frag)
SuperheatedCoronalLoop                                1.91  time*12 (SuperheatedCoronalLoop.frag)
LanternRise                                           1.75  time*11 (LanternRise.vert)
CyberGridCity                                         1.59  time*10 (CyberGridCity.frag)
SuperradiantTokamakIgnition                           1.59  time*10 (SuperradiantTokamakIgnition.frag)
HolographicMemoryCore                                 1.59  time*10 (HolographicMemoryCore.frag)
HopfFibrationToruses                                  1.59  time*10 (HopfFibrationToruses.frag)
SilkPhoto                                             1.43  time*9 (SilkPhoto.vert)
FluidPhotoMarblingEbru                                1.27  time*8 (FluidPhotoMarblingEbru.frag)
InfinitePhotoZoomAbyss                                1.27  time*8 (InfinitePhotoZoomAbyss.frag)
NeutronStarMagnetarBurst                              1.27  time*8 (NeutronStarMagnetarBurst.frag)
CosmicStringHyperspaceWeb                             1.27  time*8 (CosmicStringHyperspaceWeb.vert)
NeuroSynapseNetwork                                   1.27  time*8 (NeuroSynapseNetwork.vert)
SuperconductingFluxVortex                             1.27  time*8 (SuperconductingFluxVortex.comp)
SuperfluidHeliumVortexTurbulence                      1.27  time*8 (SuperfluidHeliumVortexTurbulence.comp)
SuperfluidVortexTangle                                1.27  time*8 (SuperfluidVortexTangle.frag)
BioluminescentAbyssalTrenches                         0.95  time*6 (BioluminescentAbyssalTrenches.frag)
BismuthHyperLabyrinth                                 0.95  time*6 (BismuthHyperLabyrinth.frag)
FluidInkMarble                                        0.95  time*6 (FluidInkMarble.frag)
GrapheneDiracPlasmonics                               0.95  time*6 (GrapheneDiracPlasmonics.frag)
KineticTileMosaicMatrix                               0.95  time*6 (KineticTileMosaicMatrix.frag)
MetamorphicLavaVortex                                 0.95  time*6 (MetamorphicLavaVortex.frag)
BioluminescentOceanSwell                              0.95  time*6 (BioluminescentOceanSwell.vert)
BioluminescentSiphonophoreChain                       0.95  time*6 (BioluminescentSiphonophoreChain.frag)
DysonSwarmSolarHarvester                              0.95  time*6 (DysonSwarmSolarHarvester.vert)
FiberopticLightLoom                                   0.95  time*6 (FiberopticLightLoom.vert)
KineticMirrorHexagonArray                             0.95  time*6 (KineticMirrorHexagonArray.vert)
OceanNight                                            0.95  time*6 (OceanNight.vert)
SolarWindMagnetosphere                                0.95  time*6 (SolarWindMagnetosphere.vert)
SuperconductingQubitResonator                         0.95  time*6 (SuperconductingQubitResonator.frag)
Tornado                                               0.89  time*5.6 (Tornado.vert)
GlitchMatrixHypercube                                 0.80  time*5 (GlitchMatrixHypercube.frag)
ChromaAcidTrip                                        0.76  audioPhase*4 (ChromaAcidTrip.frag)
GravitationalWaveInterferometer                       0.76  audioPhase*4 (GravitationalWaveInterferometer.frag)
JosephsonVortexLattice                                0.76  audioPhase*4 (JosephsonVortexLattice.frag)
PenroseAperiodicTessellation                          0.76  audioPhase*4 (PenroseAperiodicTessellation.frag)
CrystalMirrorGrid                                     0.64  time*4 (CrystalMirrorGrid.frag)
FerrofluidHexMatrix                                   0.64  time*4 (FerrofluidHexMatrix.frag)
NonEuclideanHyperbolicMandala                         0.64  time*4 (NonEuclideanHyperbolicMandala.frag)
SolarSailArmada                                       0.64  time*4 (SolarSailArmada.frag)
TokamakFusionCore                                     0.64  time*4 (TokamakFusionCore.comp)
ChladniAcousticPlate                                  0.57  audioPhase*3 (ChladniAcousticPlate.vert)
PhotoCarousel                                         0.49  time*3.1 (PhotoCarousel.vert)
Starfield                                             0.48  time*3 (Starfield.frag)
StargateWormhole                                      0.48  time*3 (StargateWormhole.frag)
BioCell                                               0.48  time*3 (BioCell.vert)
BioluminescentForestCanopy                            0.48  time*3 (BioluminescentForestCanopy.comp)
ConcertCrowd                                          0.48  time*3 (ConcertCrowd.vert)
CymaticsPlate                                         0.48  time*3 (CymaticsPlate.vert)
DeepSeaVentsEcosystem                                 0.48  time*3 (DeepSeaVentsEcosystem.comp)
OceanAbyssalBrinePool                                 0.48  time*3 (OceanAbyssalBrinePool.frag)
CliffordTorusKleinBottle                              0.40  time*2.5 (CliffordTorusKleinBottle.frag)
CherenkovRadiationWakefield                           0.38  audioPhase*2 (CherenkovRadiationWakefield.frag)
CyberpunkWireframeTerrainFlyover                      0.38  audioPhase*2 (CyberpunkWireframeTerrainFlyover.frag)
StereoSpectrum                                        0.38  audioPhase*2 (StereoSpectrum.frag)
CalabiYauManifold                                     0.32  time*2 (CalabiYauManifold.frag)
LavaLamp                                              0.32  time*2 (LavaLamp.frag)
CrystalMonoliths                                      0.32  time*2 (CrystalMonoliths.vert)
QuantumQubitArray                                     0.32  time*2 (QuantumQubitArray.vert)
VolcanoIsland                                         0.32  time*2 (VolcanoIsland.vert)
KelpForest                                            0.27  time*1.7 (KelpForest.vert)
SciFiHUD                                              0.27  time*1.7 (SciFiHUD.vert)
VolumetricFire                                        0.27  time*1.7 (VolumetricFire.vert)
Jellyfish                                             0.25  time*1.6 (Jellyfish.vert)
SolarProminenceHelicalMagneticRope                    0.25  time*1.6 (SolarProminenceHelicalMagneticRope.frag)
WhisperingGalleryMicrocavity                          0.25  audioPhase*1.3 (WhisperingGalleryMicrocavity.frag)
DeepSeaHydrothermalChimneyPillar                      0.24  time*1.5 (DeepSeaHydrothermalChimneyPillar.vert)
GearWorks                                             0.21  time*1.35 (GearWorks.vert)
AuroraBorealisOverFjord                               0.19  time*1.2 (AuroraBorealisOverFjord.frag)
HairCurtain                                           0.19  time*1.2 (HairCurtain.frag)
OrigamiMirrorKaleidoscope                             0.15  audioPhase*0.8 (OrigamiMirrorKaleidoscope.frag)
RainOnWater                                           0.14  time*0.9 (RainOnWater.vert)
SuperconductingLevitationMeissnerPinch                0.14  time*0.9 (SuperconductingLevitationMeissnerPinch.frag)
Aurora                                                0.13  time*0.8 (Aurora.frag)
BioluminescentSwarm                                   0.13  time*0.8 (BioluminescentSwarm.comp)
CometRide                                             0.11  time*0.7 (CometRide.vert)
OscilloRings                                          0.11  time*0.7 (OscilloRings.vert)
LiesegangPrecipitationRingArray                       0.10  audioPhase*0.5 (LiesegangPrecipitationRingArray.frag)
MoireTwistedBilayerGraphene                           0.10  audioPhase*0.5 (MoireTwistedBilayerGraphene.frag)
PhotonicCrystalDiracConeDispersion                    0.10  audioPhase*0.5 (PhotonicCrystalDiracConeDispersion.frag)
CosmicInflationaryTensorModes                         0.10  audioPhase*0.5 (CosmicInflationaryTensorModes.vert)
CrystallineCavernTessellation                         0.10  time*0.6 (CrystallineCavernTessellation.frag)
Detonation                                            0.10  time*0.6 (Detonation.frag)
StellarNurseryCollapse                                0.10  audioPhase*0.5 (StellarNurseryCollapse.vert)
EventHorizon                                          0.09  audioAdvance*2.2 (EventHorizon.frag)
Magnetosphere                                         0.09  audioAdvance*2.2 (Magnetosphere.comp)
HyperDimensionalTesseractTunnel                       0.08  time*0.5 (HyperDimensionalTesseractTunnel.frag)
HyperWarpTunnel                                       0.08  time*0.5 (HyperWarpTunnel.frag)
CyberRibbonHighway                                    0.08  time*0.5 (CyberRibbonHighway.vert)
DendriticSnowCrystal                                  0.08  time*0.5 (DendriticSnowCrystal.comp)
HopfTorusCliffordKlein                                0.08  time*0.5 (HopfTorusCliffordKlein.vert)
DarkAmbientTunnel                                     0.07  time*0.45 (DarkAmbientTunnel.frag)
PhotoShatter                                          0.07  time*0.45 (PhotoShatter.vert)
QuantumSpinLiquidKagomeSpinonLattice                  0.07  audioPhase*0.35 (QuantumSpinLiquidKagomeSpinonLattice.vert)
JellyfishBioluminescenceAbyss                         0.06  time*0.4 (JellyfishBioluminescenceAbyss.comp)
NonlinearLaserPlasmaWakefieldAccelerator              0.06  time*0.37 (NonlinearLaserPlasmaWakefieldAccelerator.vert)
AlfvenWavePlasmaFilamentation                         0.06  audioPhase*0.3 (AlfvenWavePlasmaFilamentation.frag)
ReactionDiffusion                                     0.06  audioPhase*0.3 (ReactionDiffusion.frag)
RelativisticKelvinHelmholtzShear                      0.06  audioPhase*0.3 (RelativisticKelvinHelmholtzShear.frag)
EnneperMinimalSurfaceHyperfold                        0.06  audioPhase*0.3 (EnneperMinimalSurfaceHyperfold.vert)
Snowfall                                              0.06  audioAdvance*1.4 (Snowfall.frag)
ParticleTunnelFlight                                  0.06  audioAdvance*1.4 (ParticleTunnelFlight.vert)
FireflyField                                          0.05  time*0.31 (FireflyField.vert)
HyperCube                                             0.05  time*0.3 (HyperCube.frag)
MandelbulbHyperRealm                                  0.05  time*0.3 (MandelbulbHyperRealm.frag)
PhotoTunnel                                           0.05  time*0.3 (PhotoTunnel.vert)
Fluid                                                 0.04  audioPhase*0.2 (Fluid.frag)
Physarum                                              0.04  audioPhase*0.2 (Physarum.frag)
SeifertSurfaceBraidKnot                               0.04  audioPhase*0.2 (SeifertSurfaceBraidKnot.vert)
SynthTerrain                                          0.04  time*0.23 (SynthTerrain.vert)
GrassField                                            0.04  audioAdvance*0.9 (GrassField.geom)
KaleidoDome                                           0.03  time*0.21 (KaleidoDome.vert)
ChromeFlow                                            0.03  time*0.2 (ChromeFlow.frag)
DragonFlight                                          0.03  time*0.2 (DragonFlight.vert)
LaserSpireArray                                       0.03  time*0.2 (LaserSpireArray.geom)
MonolithField                                         0.03  time*0.2 (MonolithField.vert)
PlanetRings                                           0.03  time*0.2 (PlanetRings.vert)
PlasmaVortexGrid                                      0.03  time*0.2 (PlasmaVortexGrid.vert)
QuantumVortexField                                    0.03  time*0.2 (QuantumVortexField.vert)
SuperconductorLevitation                              0.03  time*0.2 (SuperconductorLevitation.vert)
CrystalShatterBurst                                   0.03  time*0.18 (CrystalShatterBurst.geom)
ChiralLiquidCrystalCholesteric                        0.03  time*0.17 (ChiralLiquidCrystalCholesteric.vert)
BismuthLabyrinth                                      0.02  time*0.15 (BismuthLabyrinth.frag)
EscherRelativityMatrix                                0.02  time*0.15 (EscherRelativityMatrix.frag)
KerrNewmanSingularity                                 0.02  time*0.15 (KerrNewmanSingularity.frag)
PhotoSphere                                           0.02  time*0.15 (PhotoSphere.vert)
PrismExplode                                          0.02  audioAdvance*0.6 (PrismExplode.comp)
